Titulo da reportagem,Veículo de imprensa,data,resumo,Instituição que efetuou a apreensao,localidade onde foi encontrado o plantio,município,Estado,Quantidade de pés encontrados,quantidade prensada (embalada),Sementes,Pessoas presas por sexo,armas apreendidas,plantio estava em área pública ou particular,Link de acesso,Observações,codigo_ibge,municipio_ibge,estado_ibge
Polícia Federal erradica mais de 430 mil pés de maconha no Sertão de Pernambuco,G1 - site de notícias,5/20/2025,"A Polícia Federal (PF) divulgou o balanço da terceira fase da Operação Carcará, realizada entre os dias 1º de abril e 15 de maio, em municípios do Sertão de Pernambuco.  Neste período, segundo a PF, foram erradicados cerca de 434 mil pés de maconha, além de 2.200Kg da droga pronta para consumo.","A ação contou com a participação da Secretaria de Defesa Social através de policiais civis, militares, bombeiros e penais e com duas aeronaves, sendo uma do Grupo Tático Aéreo da SDS e a outra da Coordenação de Aviação Operacional da PF.",Rural,"Salgueiro, Cabrobó, Orocó, Belém do São Francisco, Ibimirim, Serra Talhada, e Manaíra",Pernambuco e Paraíba,cerca de 434 mil,2.200kg,X,X,X,Sem informações,https://g1.globo.com/pe/petrolina-regiao/noticia/2025/05/20/policia-federal-erradica-mais-de-430-mil-pes-de-maconha-no-sertao-de-pernambuco.ghtml,,2609808.0,Orocó,Pernambuco
Polícia Federal erradica mais de 430 mil pés de maconha no Sertão de Pernambuco,G1 - site de notícias,5/20/2025,"A Polícia Federal (PF) divulgou o balanço da terceira fase da Operação Carcará, realizada entre os dias 1º de abril e 15 de maio, em municípios do Sertão de Pernambuco.  Neste período, segundo a PF, foram erradicados cerca de 434 mil pés de maconha, além de 2.200Kg da droga pronta para consumo.","A ação contou com a participação da Secretaria de Defesa Social através de policiais civis, militares, bombeiros e penais e com duas aeronaves, sendo uma do Grupo Tático Aéreo da SDS e a outra da Coordenação de Aviação Operacional da PF.",Rural,"Salgueiro, Cabrobó, Orocó, Belém do São Francisco, Ibimirim, Serra Talhada, e Manaíra",Pernambuco e Paraíba,cerca de 434 mil,2.200kg,X,X,X,Sem informações,https://g1.globo.com/pe/petrolina-regiao/noticia/2025/05/20/policia-federal-erradica-mais-de-430-mil-pes-de-maconha-no-sertao-de-pernambuco.ghtml,,2601607.0,Belém do São Francisco,Pernambuco
Polícia Federal erradica mais de 430 mil pés de maconha no Sertão de Pernambuco,G1 - site de notícias,5/20/2025,"A Polícia Federal (PF) divulgou o balanço da terceira fase da Operação Carcará, realizada entre os dias 1º de abril e 15 de maio, em municípios do Sertão de Pernambuco.  Neste período, segundo a PF, foram erradicados cerca de 434 mil pés de maconha, além de 2.200Kg da droga pronta para consumo.","A ação contou com a participação da Secretaria de Defesa Social através de policiais civis, militares, bombeiros e penais e com duas aeronaves, sendo uma do Grupo Tático Aéreo da SDS e a outra da Coordenação de Aviação Operacional da PF.",Rural,"Salgueiro, Cabrobó, Orocó, Belém do São Francisco, Ibimirim, Serra Talhada, e Manaíra",Pernambuco e Paraíba,cerca de 434 mil,2.200kg,X,X,X,Sem informações,https://g1.globo.com/pe/petrolina-regiao/noticia/2025/05/20/policia-federal-erradica-mais-de-430-mil-pes-de-maconha-no-sertao-de-pernambuco.ghtml,,2606606.0,Ibimirim,Pernambuco
Polícia Federal erradica mais de 430 mil pés de maconha no Sertão de Pernambuco,G1 - site de notícias,5/20/2025,"A Polícia Federal (PF) divulgou o balanço da terceira fase da Operação Carcará, realizada entre os dias 1º de abril e 15 de maio, em municípios do Sertão de Pernambuco.  Neste período, segundo a PF, foram erradicados cerca de 434 mil pés de maconha, além de 2.200Kg da droga pronta para consumo.","A ação contou com a participação da Secretaria de Defesa Social através de policiais civis, militares, bombeiros e penais e com duas aeronaves, sendo uma do Grupo Tático Aéreo da SDS e a outra da Coordenação de Aviação Operacional da PF.",Rural,"Salgueiro, Cabrobó, Orocó, Belém do São Francisco, Ibimirim, Serra Talhada, e Manaíra",Pernambuco e Paraíba,cerca de 434 mil,2.200kg,X,X,X,Sem informações,https://g1.globo.com/pe/petrolina-regiao/noticia/2025/05/20/policia-federal-erradica-mais-de-430-mil-pes-de-maconha-no-sertao-de-pernambuco.ghtml,,2613909.0,Serra Talhada,Pernambuco
Polícia Federal erradica mais de 430 mil pés de maconha no Sertão de Pernambuco,G1 - site de notícias,5/20/2025,"A Polícia Federal (PF) divulgou o balanço da terceira fase da Operação Carcará, realizada entre os dias 1º de abril e 15 de maio, em municípios do Sertão de Pernambuco.  Neste período, segundo a PF, foram erradicados cerca de 434 mil pés de maconha, além de 2.200Kg da droga pronta para consumo.","A ação contou com a participação da Secretaria de Defesa Social através de policiais civis, militares, bombeiros e penais e com duas aeronaves, sendo uma do Grupo Tático Aéreo da SDS e a outra da Coordenação de Aviação Operacional da PF.",Rural,"Salgueiro, Cabrobó, Orocó, Belém do São Francisco, Ibimirim, Serra Talhada, e Manaíra",Pernambuco e Paraíba,cerca de 434 mil,2.200kg,X,X,X,Sem informações,https://g1.globo.com/pe/petrolina-regiao/noticia/2025/05/20/policia-federal-erradica-mais-de-430-mil-pes-de-maconha-no-sertao-de-pernambuco.ghtml,,,,
Polícia Federal erradica mais de 430 mil pés de maconha no Sertão de Pernambuco,G1 - site de notícias,5/20/2025,"A Polícia Federal (PF) divulgou o balanço da terceira fase da Operação Carcará, realizada entre os dias 1º de abril e 15 de maio, em municípios do Sertão de Pernambuco.  Neste período, segundo a PF, foram erradicados cerca de 434 mil pés de maconha, além de 2.200Kg da droga pronta para consumo.","A ação contou com a participação da Secretaria de Defesa Social através de policiais civis, militares, bombeiros e penais e com duas aeronaves, sendo uma do Grupo Tático Aéreo da SDS e a outra da Coordenação de Aviação Operacional da PF.",Rural,"Salgueiro, Cabrobó, Orocó, Belém do São Francisco, Ibimirim, Serra Talhada, e Manaíra",Pernambuco e Paraíba,cerca de 434 mil,2.200kg,X,X,X,Sem informações,https://g1.globo.com/pe/petrolina-regiao/noticia/2025/05/20/policia-federal-erradica-mais-de-430-mil-pes-de-maconha-no-sertao-de-pernambuco.ghtml,,,,
PF e forças estaduais erradicam 13 mil pés de maconha no sertão de Pernambuco,GOV - Site de notícias,7/7/2025,"Uma operação integrada entre a Polícia Federal, o BEPI/PE (Batalhão Especializado de Policiamento do Interior) e a CIPE Caatinga/BA (Companhia Independente de Policiamento Especializado) resultou, na manhã de sexta-feira (4/7), na erradicação de aproximadamente 13 mil pés de maconha em duas roças localizadas na zona rural do município de Carnaubeira da Penha, no Sertão pernambucano.","PF, BEPI/PE e CIPE Caatinga/BA",Rural,Carnaubeira da Penha,Pernambuco,Cerca de 13 mil,X,X,X,1,Particular (2 roças),https://www.gov.br/pf/pt-br/assuntos/noticias/2025/07/pf-e-forcas-estaduais-erradicam-13-mil-pes-de-maconha-no-sertao-de-pernambuco,,2603926.0,Carnaubeira da Penha,Pernambuco
Polícia Civil destrói roça com 10 mil pés de maconha e prende três pessoas em Pedro do Rosário,Governo do Maranhão - site de notícias,7/16/2025,"A Polícia Civil do Maranhão erradicou, na manhã desta quarta-feira (16), uma plantação com aproximadamente 10 mil pés de maconha no município de Pedro do Rosário, localizado na região da Baixada Maranhense.",PC do Maranhão,Rural,Pedro do Rosário,Maranhão,Cerca de 10 mil,X,8kg,3 (não há informações do sexo),2,Particular (1 roça),https://www.ma.gov.br/noticias/policia-civil-destroi-roca-com-10-mil-pes-de-maconha-e-prende-tres-pessoas-em-pedro-do-rosario,,2108256.0,Pedro do Rosário,Maranhão
Polícia Civil localiza e destrói cerca de 10 mil pés de maconha na baixada maranhense,G1 - site de notícias,7/17/2025,"Os agentes localizaram, em Pedro do Rosário, o ponto exato do cultivo, que já estava em fase avançada. Três pessoas foram presas em flagrante.",PC do Maranhão,Rural,Pedro do Rosário,Maranhão,Cerca de 10 mil,X,Mais de 8kg,3 pessoas em fraglante (não há informações de sexo),2,Particular (roça),https://g1.globo.com/ma/maranhao/noticia/2025/07/17/policia-civil-localiza-e-destroi-cerca-de-10-mil-pes-de-maconha-na-baixada-maranhense.ghtml,,2108256.0,Pedro do Rosário,Maranhão
Polícia Militar erradica 1.850 pés de maconha em Curaçá (BA),Nossa Voz - site de notícias,7/17/2025,"Por volta das 13h, durante a Operação Força Total, policiais militares da 45ª CIPM, comprometidos com a repressão ao cultivo e à circulação de drogas, localizaram uma plantação de Cannabis sativa (maconha) nas proximidades da localidade de Angico, totalizando 1.850 pés da erva. O plantio ilícito estava camuflado no interior de uma roça de maracujá, numa tentativa de dificultar a detecção pelas forças de segurança.",PMBA ( 45º CIPM),Rural,Mairi,Bahia,1.850,X,X,X,X,Particular (roça),https://blognossavoz.com.br/policia-militar-erradica-1-850-pes-de-maconha-em-curaca-ba/,,2920106.0,Mairi,Bahia
Descoberta uma roça com de 130 mil pés de maconha no Sul do Piauí; veja vídeos,Piauí Hoje - site de notícias,7/18/2025,"Uma grande plantação de maconha foi descoberta e destruída na manhã desta sexta-feira (18) na zona rural do município de Cristino Castro, no sul do Piauí. A área de aproximadamente cinco hectares fica na Fazenda Jenipapo e a estimativa é que havia mais de 130 mil pés de maconha cultivados no local.","Pacto pela Ordem, DENARC, PMPI (DGO, BEPI e BOPE)",Rural,Cristino Castro,Piauí,Mais de 130 mil,400kg,X,X,X,Particular (fazenda Jenipapo),https://piauihoje.com/noticias/policia/desarticulada-roca-com-mais-de-130-mil-pes-de-maconha-no-sul-do-piaui-440307.html,,2203107.0,Cristino Castro,Piauí
Polícia encontra estufa com plantação de 300 pés de maconha no Complexo da Maré,R7 - site de notícias,7/23/2025,"Agentes do Bope (Batalhão de Operações Policiais Especiais) encontraram uma estufa com plantação de 300 pés de maconha no Complexo da Maré, na zona norte do Rio de Janeiro, nesta quarta-feira (23). Durante a operação, os policiais também encontraram um laboratório de cocaína .",BOPE,Urbana,Rio de Janeiro,Rio de Janeiro,300 e laboratório de cocaína,30kg,X,X,X,Particular (estufa),https://record.r7.com/cidade-alerta-rj/video/policia-encontra-estufa-com-plantacao-de-300-pes-de-maconha-no-complexo-da-mare-23072025/,,3304557.0,Rio de Janeiro,Rio de Janeiro
Apreensão histórica encontra 138 mil pés de maconha em área rural de SC; homem é detido,G1 - site de notícias,7/24/2025,"Uma plantação de aproximadamente 138 mil pés de maconha foi flagrada em uma propriedade em José Boiteux, município com menos de 6 mil habitantes no Vale do Itajaí, em Santa Catarina, segundo a Polícia Militar",BOPE e 13º Batalhão da PM,Rural,José Boiteux,Santa Catarina,Cerca de 138 mil,X,X,1 homem,2,Particular,https://g1.globo.com/sc/santa-catarina/noticia/2025/07/24/video-pm-plantacao-gigante-138-mil-pes-de-maconha-sc.ghtml,,4209151.0,José Boiteux,Santa Catarina
Polícia erradica plantação com 150 mil pés de maconha na zona rural de Sertânia,PE Notícias - site de notícias,7/24/2025,"Uma operação policial foi realizada na quarta-feira (23), com o objetivo de localizar e destruir um plantio de maconha na região da Fazenda Pedra Preta, na zona rural de Sertânia, Sertão de Pernambuco.","AIS/3º BPM, PF, GATI, Patrulha Rural, Malhas da Lei e efetivo do 3º Batalhão de ArcoVerde",Rural,Sertânia,Pernambuco,cerca de 150 mil,X,X,X,X,Particular (3 roças),https://penoticias.com.br/blog/policia-erradica-plantacao-com-150-mil-pes-de-maconha-na-zona-rural-de-sertania/,,2614105.0,Sertânia,Pernambuco
Plantio com 11 mil pés de maconha é erradicado em Jaguarari (BA) ,Edenevaldo Alves - site de notícias,7/25/2025,"A Polícia Militar da Bahia, através da Companhia Independente de Policiamento Especializado (CIPE-Caatinga), erradicou aproximadamente 11 mil pés de maconha no município de Jaguarari, em ação conjunta com o 6° Batalhão de Polícia Militar (BPM).",PMBA (Cipe Caatinga) e 6º Batalhão da PM (BPM),Rural,Jaguarari,Bahia,Cerca de 11 mil,X,X,X,X,Particular (Fazenda Lage Grande),https://edenevaldoalves.com.br/plantio-com-11-mil-pes-de-maconha-e-erradicado-em-jaguarari-ba/,,2917706.0,Jaguarari,Bahia
Plantação com 12 toneladas de drogas avaliadas em R$ 24 milhões é localizada no Ceará,Diário do Nordeste - site de notícias,7/25/2025,"Uma plantação com cerca de 60 mil 'pés de maconha' foi localizada no Interior do Ceará, nesta sexta-feira (25). Cerca de 12 toneladas de drogas foram apreendidas na zona rural da cidade de Brejo Santo, próximo a um trecho do Canal de Integração do Rio São Francisco.","PF, PMCE, 1º CIPM da PM de Belém de São Francisco/PE",Rural,Brejo Santo,Ceará,cerca de 60 mil,X,X,X,X,Sem informações,https://diariodonordeste.verdesmares.com.br/seguranca/plantacao-com-12-toneladas-de-drogas-avaliadas-em-r-24-milhoes-e-localizada-no-ceara-1.3674018,,2302503.0,Brejo Santo,Ceará
Polícia Federal e PM descobrem roça com 60 mil pés de maconha na zona rural de Brejo Santo-CE; veja o vídeio,CaririCeara - site de notícias,7/26/2025,"Uma operação conjunta entre a Polícia Federal, e a Polícia Militar do Ceará através do POG-Policiamento Ostensivo Geral de Brejo Santo e  o BEPI-CODI de Penaforte resultou na descoberta de duas grandes plantações de maconha na tarde desta sexta-feira (25), na zona rural do município de Brejo Santo, no Cariri cearense.","PF, PMCE (POG-Policiamento Ostensivo Geral de Brejo Santo) e BEPI-CODI de Penaforte",Rural,Brejo Santo,Ceará,Cerca de 60 mil,X,X,X,X,Particular (2 roças),https://caririceara.com/2025/07/26/policia-federal-e-pm-descobrem-roca-com-60-mil-pes-de-maconha-na-zona-rural-de-brejo-santo-ce-veja-o-videio/,,2302503.0,Brejo Santo,Ceará
'Fazenda da maconha' com 6 mil pés espanta polícia pelo profissionalismo: 'É surpreendente',G1 - site de notícias,7/30/2025,"Os quase seis mil pés de maconha encontrados em uma fazenda na zona rural do Alto Paranaíba, na divisa entre Patrocínio e Coromandel, contava com um sistema avançado de irrigação e iluminação, o que indica, segundo a Polícia Militar, um ""cultivo profissional"". A Operação Mandrágora foi realizada na última segunda-feira (28).",Operação Mandrágora - 46º Batalhão da PM e 9º Companhia Independente de Policiamento Especializado ,Rural,"Região do Patrocínio, Coromandel",Minas Gerais,Cerca de 6 mil,X,X,X,X,Particular (fazenda),https://g1.globo.com/mg/triangulo-mineiro/noticia/2025/07/30/com-irrigacao-e-iluminacao-na-medida-certa-fazenda-da-maconha-com-6-mil-pes-causa-espanto-na-policia-pelo-cultivo-profissional-e-surpreendente.ghtml,"Notícia ""Dupla é presa por participar de cultivo de 'fazenda de maconha' com 6 mil pés em Coromandel"" atualiza: foram presos 2 homens de 37 e 38 anos após 3 meses de investigação. Link de acesso: https://g1.globo.com/mg/triangulo-mineiro/noticia/2025/10/31/dupla-e-presa-por-participar-de-cultivo-de-fazenda-de-maconha-com-6-mil-pes-em-coromandel.ghtml",,,
'Fazenda da maconha' com 6 mil pés espanta polícia pelo profissionalismo: 'É surpreendente',G1 - site de notícias,7/30/2025,"Os quase seis mil pés de maconha encontrados em uma fazenda na zona rural do Alto Paranaíba, na divisa entre Patrocínio e Coromandel, contava com um sistema avançado de irrigação e iluminação, o que indica, segundo a Polícia Militar, um ""cultivo profissional"". A Operação Mandrágora foi realizada na última segunda-feira (28).",Operação Mandrágora - 46º Batalhão da PM e 9º Companhia Independente de Policiamento Especializado ,Rural,"Região do Patrocínio, Coromandel",Minas Gerais,Cerca de 6 mil,X,X,X,X,Particular (fazenda),https://g1.globo.com/mg/triangulo-mineiro/noticia/2025/07/30/com-irrigacao-e-iluminacao-na-medida-certa-fazenda-da-maconha-com-6-mil-pes-causa-espanto-na-policia-pelo-cultivo-profissional-e-surpreendente.ghtml,"Notícia ""Dupla é presa por participar de cultivo de 'fazenda de maconha' com 6 mil pés em Coromandel"" atualiza: foram presos 2 homens de 37 e 38 anos após 3 meses de investigação. Link de acesso: https://g1.globo.com/mg/triangulo-mineiro/noticia/2025/10/31/dupla-e-presa-por-participar-de-cultivo-de-fazenda-de-maconha-com-6-mil-pes-em-coromandel.ghtml",3119302.0,Coromandel,Minas Gerais
VÍDEO: Nova 'fazenda da maconha' com capacidade para 5 mil pés é descoberta no interior de MG,G1 - site de notícias,7/31/2025,"Três pessoas foram presas nesta quinta-feira (31) em Uberlândia e em Cascalho Rico por envolvimento em uma plantação de maconha na zona rural de Cascalho Rico. De acordo com a Polícia Civil, foram apreendidos 15 quilos de flor de maconha no local.",PC de Minas Gerais,Rural,Uberlândia e Cascalho Rico,Minas Gerais,X,15kg de flor de maconha (gourmet),X,"2 mulheres, 1 homem de 36 anos e 1 adolescente de 17 anos",Espingardas e mais de 500 munições (sem dados precisos),Particular,https://g1.globo.com/mg/triangulo-mineiro/noticia/2025/07/31/nova-fazenda-da-maconha-com-capacidade-para-5-mil-pes-e-descoberta-no-interior-de-mg.ghtml,,3170206.0,Uberlândia,Minas Gerais
VÍDEO: Nova 'fazenda da maconha' com capacidade para 5 mil pés é descoberta no interior de MG,G1 - site de notícias,7/31/2025,"Três pessoas foram presas nesta quinta-feira (31) em Uberlândia e em Cascalho Rico por envolvimento em uma plantação de maconha na zona rural de Cascalho Rico. De acordo com a Polícia Civil, foram apreendidos 15 quilos de flor de maconha no local.",PC de Minas Gerais,Rural,Uberlândia e Cascalho Rico,Minas Gerais,X,15kg de flor de maconha (gourmet),X,"2 mulheres, 1 homem de 36 anos e 1 adolescente de 17 anos",Espingardas e mais de 500 munições (sem dados precisos),Particular,https://g1.globo.com/mg/triangulo-mineiro/noticia/2025/07/31/nova-fazenda-da-maconha-com-capacidade-para-5-mil-pes-e-descoberta-no-interior-de-mg.ghtml,,3115003.0,Cascalho Rico,Minas Gerais
PM erradica Cannabis Sativa na Bahia,Bahia.ba - site de notícias,8/9/2025,"Policiais Militares da 45ª CIPM erradicaram cerca de 200 mil pés de maconha, na sexta-feira (8), entre os municípios de Curaçá e Abaré.","PM da 45° CIPM, CIPE Caatinga e PF",Rural,"Curaçá, Abaré",Bahia,Cerca de 200 mil,X,X,3 (não há informações de sexo),Encontradas armas de fogo e munições (sem especificação),Sem informações,https://bahia.ba/bahia/pm-erradica-cannabis-sativa-na-bahia/,,2909901.0,Curaçá,Bahia
PM erradica Cannabis Sativa na Bahia,Bahia.ba - site de notícias,8/9/2025,"Policiais Militares da 45ª CIPM erradicaram cerca de 200 mil pés de maconha, na sexta-feira (8), entre os municípios de Curaçá e Abaré.","PM da 45° CIPM, CIPE Caatinga e PF",Rural,"Curaçá, Abaré",Bahia,Cerca de 200 mil,X,X,3 (não há informações de sexo),Encontradas armas de fogo e munições (sem especificação),Sem informações,https://bahia.ba/bahia/pm-erradica-cannabis-sativa-na-bahia/,,2900207.0,Abaré,Bahia
PF destrói milhares de pés de maconha em três estados do Nordeste ,Veja - site de notícias,8/11/2025,"Uma grande operação da Polícia Federal, com apoio de diferentes órgãos de segurança de Pernambuco, destruiu, em dez dias, mais de 335.000 pés de maconha plantados no sertão de pernambucano e em cidade... ","PF, Secretaria de Defesa Social da Paraíba com a PC, Secretaria de Defesa Social de Pernambuco, com efetivos da PC, PM, Penal, Corpo de Bombeiro e apoio aéreo do Grupo Tático Aéreo.",Rural,"Salgueiro, Cabrobó, Orocó, Belém do São Francisco, Ibimirim, Serra Talhada , Manaíra  e localidades do Piauí","Pernambuco, Paraíba e Piauí",335.000,X,X,X,X,Sem informações,https://veja.abril.com.br/coluna/radar/pf-destroi-milhares-de-pes-de-maconha-em-tres-estados-do-nordeste/#google_vignette,,,,
PF destrói milhares de pés de maconha em três estados do Nordeste ,Veja - site de notícias,8/11/2025,"Uma grande operação da Polícia Federal, com apoio de diferentes órgãos de segurança de Pernambuco, destruiu, em dez dias, mais de 335.000 pés de maconha plantados no sertão de pernambucano e em cidade... ","PF, Secretaria de Defesa Social da Paraíba com a PC, Secretaria de Defesa Social de Pernambuco, com efetivos da PC, PM, Penal, Corpo de Bombeiro e apoio aéreo do Grupo Tático Aéreo.",Rural,"Salgueiro, Cabrobó, Orocó, Belém do São Francisco, Ibimirim, Serra Talhada , Manaíra  e localidades do Piauí","Pernambuco, Paraíba e Piauí",335.000,X,X,X,X,Sem informações,https://veja.abril.com.br/coluna/radar/pf-destroi-milhares-de-pes-de-maconha-em-tres-estados-do-nordeste/#google_vignette,,,,
PF destrói milhares de pés de maconha em três estados do Nordeste ,Veja - site de notícias,8/11/2025,"Uma grande operação da Polícia Federal, com apoio de diferentes órgãos de segurança de Pernambuco, destruiu, em dez dias, mais de 335.000 pés de maconha plantados no sertão de pernambucano e em cidade... ","PF, Secretaria de Defesa Social da Paraíba com a PC, Secretaria de Defesa Social de Pernambuco, com efetivos da PC, PM, Penal, Corpo de Bombeiro e apoio aéreo do Grupo Tático Aéreo.",Rural,"Salgueiro, Cabrobó, Orocó, Belém do São Francisco, Ibimirim, Serra Talhada , Manaíra  e localidades do Piauí","Pernambuco, Paraíba e Piauí",335.000,X,X,X,X,Sem informações,https://veja.abril.com.br/coluna/radar/pf-destroi-milhares-de-pes-de-maconha-em-tres-estados-do-nordeste/#google_vignette,,,,
PF destrói milhares de pés de maconha em três estados do Nordeste ,Veja - site de notícias,8/11/2025,"Uma grande operação da Polícia Federal, com apoio de diferentes órgãos de segurança de Pernambuco, destruiu, em dez dias, mais de 335.000 pés de maconha plantados no sertão de pernambucano e em cidade... ","PF, Secretaria de Defesa Social da Paraíba com a PC, Secretaria de Defesa Social de Pernambuco, com efetivos da PC, PM, Penal, Corpo de Bombeiro e apoio aéreo do Grupo Tático Aéreo.",Rural,"Salgueiro, Cabrobó, Orocó, Belém do São Francisco, Ibimirim, Serra Talhada , Manaíra  e localidades do Piauí","Pernambuco, Paraíba e Piauí",335.000,X,X,X,X,Sem informações,https://veja.abril.com.br/coluna/radar/pf-destroi-milhares-de-pes-de-maconha-em-tres-estados-do-nordeste/#google_vignette,,,,
PF destrói milhares de pés de maconha em três estados do Nordeste ,Veja - site de notícias,8/11/2025,"Uma grande operação da Polícia Federal, com apoio de diferentes órgãos de segurança de Pernambuco, destruiu, em dez dias, mais de 335.000 pés de maconha plantados no sertão de pernambucano e em cidade... ","PF, Secretaria de Defesa Social da Paraíba com a PC, Secretaria de Defesa Social de Pernambuco, com efetivos da PC, PM, Penal, Corpo de Bombeiro e apoio aéreo do Grupo Tático Aéreo.",Rural,"Salgueiro, Cabrobó, Orocó, Belém do São Francisco, Ibimirim, Serra Talhada , Manaíra  e localidades do Piauí","Pernambuco, Paraíba e Piauí",335.000,X,X,X,X,Sem informações,https://veja.abril.com.br/coluna/radar/pf-destroi-milhares-de-pes-de-maconha-em-tres-estados-do-nordeste/#google_vignette,,,,
PF destrói milhares de pés de maconha em três estados do Nordeste ,Veja - site de notícias,8/11/2025,"Uma grande operação da Polícia Federal, com apoio de diferentes órgãos de segurança de Pernambuco, destruiu, em dez dias, mais de 335.000 pés de maconha plantados no sertão de pernambucano e em cidade... ","PF, Secretaria de Defesa Social da Paraíba com a PC, Secretaria de Defesa Social de Pernambuco, com efetivos da PC, PM, Penal, Corpo de Bombeiro e apoio aéreo do Grupo Tático Aéreo.",Rural,"Salgueiro, Cabrobó, Orocó, Belém do São Francisco, Ibimirim, Serra Talhada , Manaíra  e localidades do Piauí","Pernambuco, Paraíba e Piauí",335.000,X,X,X,X,Sem informações,https://veja.abril.com.br/coluna/radar/pf-destroi-milhares-de-pes-de-maconha-em-tres-estados-do-nordeste/#google_vignette,,,,
PF destrói milhares de pés de maconha em três estados do Nordeste ,Veja - site de notícias,8/11/2025,"Uma grande operação da Polícia Federal, com apoio de diferentes órgãos de segurança de Pernambuco, destruiu, em dez dias, mais de 335.000 pés de maconha plantados no sertão de pernambucano e em cidade... ","PF, Secretaria de Defesa Social da Paraíba com a PC, Secretaria de Defesa Social de Pernambuco, com efetivos da PC, PM, Penal, Corpo de Bombeiro e apoio aéreo do Grupo Tático Aéreo.",Rural,"Salgueiro, Cabrobó, Orocó, Belém do São Francisco, Ibimirim, Serra Talhada , Manaíra  e localidades do Piauí","Pernambuco, Paraíba e Piauí",335.000,X,X,X,X,Sem informações,https://veja.abril.com.br/coluna/radar/pf-destroi-milhares-de-pes-de-maconha-em-tres-estados-do-nordeste/#google_vignette,,,,
PF destrói milhares de pés de maconha em três estados do Nordeste ,Veja - site de notícias,8/11/2025,"Uma grande operação da Polícia Federal, com apoio de diferentes órgãos de segurança de Pernambuco, destruiu, em dez dias, mais de 335.000 pés de maconha plantados no sertão de pernambucano e em cidade... ","PF, Secretaria de Defesa Social da Paraíba com a PC, Secretaria de Defesa Social de Pernambuco, com efetivos da PC, PM, Penal, Corpo de Bombeiro e apoio aéreo do Grupo Tático Aéreo.",Rural,"Salgueiro, Cabrobó, Orocó, Belém do São Francisco, Ibimirim, Serra Talhada , Manaíra  e localidades do Piauí","Pernambuco, Paraíba e Piauí",335.000,X,X,X,X,Sem informações,https://veja.abril.com.br/coluna/radar/pf-destroi-milhares-de-pes-de-maconha-em-tres-estados-do-nordeste/#google_vignette,,,,
PF erradica cerca de 120 mil pés de maconha em áreas de difícil acesso no nordeste do Pará,A Província do Pará,8/16/2025," Polícia Federal realizou uma operação entre os dias 12 e 15 de agosto e erradicou aproximadamente 120 mil pés de maconha em áreas de floresta de difícil acesso no nordeste do Pará. A ação destruiu 15 plantações nos municípios de Garrafão do Norte, Cachoeira do Piriá, Capitão Poço, Concórdia do Pará e Nova Esperança do Piriá, próximos à Terra Indígena Alto Rio Guamá (TIARG).",PF e CAOP,Rural,"Garrafão do Norte, Cachoeira do Piriá, Capitão Poço, Concórdia do Pará, Nova Esperança do Piriá, próximos à Terra Indígena Alto Rio Guamá",Pará,cerca de 120 mil,X,X,X,X,Em análise (possível utilização de áreas da União),https://aprovinciadopara.com.br/pf-erradica-cerca-de-120-mil-pes-de-maconha-em-areas-de-dificil-acesso-no-nordeste-do-para/,,1503077.0,Garrafão do Norte,Pará
PF erradica cerca de 120 mil pés de maconha em áreas de difícil acesso no nordeste do Pará,A Província do Pará,8/16/2025," Polícia Federal realizou uma operação entre os dias 12 e 15 de agosto e erradicou aproximadamente 120 mil pés de maconha em áreas de floresta de difícil acesso no nordeste do Pará. A ação destruiu 15 plantações nos municípios de Garrafão do Norte, Cachoeira do Piriá, Capitão Poço, Concórdia do Pará e Nova Esperança do Piriá, próximos à Terra Indígena Alto Rio Guamá (TIARG).",PF e CAOP,Rural,"Garrafão do Norte, Cachoeira do Piriá, Capitão Poço, Concórdia do Pará, Nova Esperança do Piriá, próximos à Terra Indígena Alto Rio Guamá",Pará,cerca de 120 mil,X,X,X,X,Em análise (possível utilização de áreas da União),https://aprovinciadopara.com.br/pf-erradica-cerca-de-120-mil-pes-de-maconha-em-areas-de-dificil-acesso-no-nordeste-do-para/,,1501956.0,Cachoeira do Piriá,Pará
PF erradica cerca de 120 mil pés de maconha em áreas de difícil acesso no nordeste do Pará,A Província do Pará,8/16/2025," Polícia Federal realizou uma operação entre os dias 12 e 15 de agosto e erradicou aproximadamente 120 mil pés de maconha em áreas de floresta de difícil acesso no nordeste do Pará. A ação destruiu 15 plantações nos municípios de Garrafão do Norte, Cachoeira do Piriá, Capitão Poço, Concórdia do Pará e Nova Esperança do Piriá, próximos à Terra Indígena Alto Rio Guamá (TIARG).",PF e CAOP,Rural,"Garrafão do Norte, Cachoeira do Piriá, Capitão Poço, Concórdia do Pará, Nova Esperança do Piriá, próximos à Terra Indígena Alto Rio Guamá",Pará,cerca de 120 mil,X,X,X,X,Em análise (possível utilização de áreas da União),https://aprovinciadopara.com.br/pf-erradica-cerca-de-120-mil-pes-de-maconha-em-areas-de-dificil-acesso-no-nordeste-do-para/,,1502301.0,Capitão Poço,Pará
